"DS_DESCRICAO";"FK_ESTADO";"ID_CIDADE";"estado_ID_ESTADO"
"ACRELANDIA";1;1;0
"ASSIS BRASIL";1;2;0
"BRASILEIA";1;3;0
"BUJARI";1;4;0
"CAPIXABA";1;5;0
"CRUZEIRO DO SUL";1;6;0
"EPITACIOLANDIA";1;7;0
"FEIJO";1;8;0
"JORDAO";1;9;0
"MANCIO LIMA";1;10;0
"MANOEL URBANO";1;11;0
"MARECHAL THAUMATURGO";1;12;0
"PLACIDO DE CASTRO";1;13;0
"PORTO ACRE";1;14;0
"PORTO WALTER";1;15;0
"RIO BRANCO";1;16;0
"RODRIGUES ALVES";1;17;0
"SANTA ROSA DO PURUS";1;18;0
"SENA MADUREIRA";1;19;0
"SENADOR GUIOMARD";1;20;0
"TARAUACA";1;21;0
"XAPURI";1;22;0
"AGUA BRANCA";2;23;0
"ALAZAO";2;24;0
"ALECRIM";2;25;0
"ANADIA";2;26;0
"ANEL";2;27;0
"ANUM NOVO";2;28;0
"ANUM VELHO";2;29;0
"ARAPIRACA";2;30;0
"ATALAIA";2;31;0
"BAIXA DA ONCA";2;32;0
"BAIXA DO CAPIM";2;33;0
"BALSAMO";2;34;0
"BANANEIRAS";2;35;0
"BARRA DE SANTO ANTONIO";2;36;0
"BARRA DE SAO MIGUEL";2;37;0
"BARRA DO BONIFACIO";2;38;0
"BARRA GRANDE";2;39;0
"BATALHA";2;40;0
"BATINGAS";2;41;0
"BELEM";2;42;0
"BELO MONTE";2;43;0
"BOA SORTE";2;44;0
"BOA VISTA";2;45;0
"BOA VISTA";2;46;0
"BOCA DA MATA";2;47;0
"BOM JARDIM";2;48;0
"BONIFACIO";2;49;0
"BRANQUINHA";2;50;0
"CACIMBINHAS";2;51;0
"CAJARANA";2;52;0
"CAJUEIRO";2;53;0
"CALDEIROES DE CIMA";2;54;0
"CAMADANTA";2;55;0
"CAMPESTRE";2;56;0
"CAMPO ALEGRE";2;57;0
"CAMPO GRANDE";2;58;0
"CANAA";2;59;0
"CANAFISTULA";2;60;0
"CANAPI";2;61;0
"CANASTRA";2;62;0
"CANGANDU";2;63;0
"CAPELA";2;64;0
"CARNEIROS";2;65;0
"CARRASCO";2;66;0
"CHA PRETA";2;67;0
"COITE DO NOIA";2;68;0
"COLONIA LEOPOLDINA";2;69;0
"COQUEIRO SECO";2;70;0
"CORURIPE";2;71;0
"CORURIPE DA CAL";2;72;0
